Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-25 20:00:00,6410,6410.74,6397.12,6398.01,139.61,894495.28,6407.17
2018-10-25 21:00:00,6398.02,6402.8,6390.02,6397.63,89.85,574878.66,6397.86
2018-10-25 22:00:00,6397.78,6412.85,6391.39,6408.45,16.97,108715.98,6406.24
2018-10-25 23:00:00,6412.84,6413.19,6391.72,6393.53,27.24,174400.37,6401.72
2018-10-26 00:00:00,6393.38,6402.2,6386.41,6400.17,112.2,717850.23,6397.69
2018-10-26 01:00:00,6400.18,6403.76,6389.92,6391.8,51.48,329354.55,6398.12
2018-10-26 02:00:00,6391.8,6396.01,6385.57,6394.03,49.8,318266.62,6391.24
2018-10-26 03:00:00,6394.04,6398.54,6385.45,6389.2,23.22,148435.73,6392.21
2018-10-26 04:00:00,6389.2,6390,6382.69,6388,26.43,168791.19,6387.15
2018-10-26 05:00:00,6387.43,6395,6385.32,6394.79,44.81,286350.77,6390.26
2018-10-26 06:00:00,6394.79,6395,6390.88,6391,34.99,223736.13,6394.38
2018-10-26 07:00:00,6391,6395,6377.81,6385.68,173.12,1105439.37,6385.22
2018-10-26 08:00:00,6382.72,6450.3,6382.5,6430.42,305.68,1965649.06,6430.51
2018-10-26 09:00:00,6430.42,6436,6407.85,6411.77,742.88,4776030.68,6429.07
2018-10-26 10:00:00,6411.76,6419.87,6409.16,6415.01,57.84,370984.68,6413.74
2018-10-26 11:00:00,6417.43,6420,6415,6417.72,66.24,425083.14,6417.8
2018-10-26 12:00:00,6417.72,6418.82,6399.03,6405.43,238.33,1526477.8,6404.93
2018-10-26 13:00:00,6405.43,6419.99,6388.38,6396,155.2,993422.06,6401.1
2018-10-26 14:00:00,6396,6407.27,6383.76,6405.75,290.22,1856497.48,6396.76
2018-10-26 15:00:00,6404.5,6414.22,6390.82,6394.96,224.19,1435506.38,6403.17
2018-10-26 16:00:00,6393.83,6410.13,6393.73,6406.8,140.96,902295.86,6401.15
2018-10-26 17:00:00,6404.44,6410.24,6401.37,6405.79,102.58,657203.73,6406.81
2018-10-26 18:00:00,6408.09,6408.09,6397.34,6403.61,51.76,331327.1,6401.23
2018-10-26 19:00:00,6403.61,6403.78,6394.64,6403.78,217.77,1393604.25,6399.35
2018-10-26 20:00:00,6402.96,6405,6399.99,6402.07,102.86,658507.89,6402.05
2018-10-26 21:00:00,6402.07,6409.07,6388.54,6402.01,76.06,486827.91,6400.85
2018-10-26 22:00:00,6402,6407.16,6399.77,6403,8.02,51356.73,6405
2018-10-26 23:00:00,6403.01,6406.1,6400.08,6406.1,27.2,174203.02,6403.93
2018-10-27 00:00:00,6406.1,6412.36,6404.19,6404.63,22.41,143607.41,6409.26
2018-10-27 01:00:00,6407.85,6415.42,6405.92,6414.52,30.62,196389.04,6413.38
2018-10-27 02:00:00,6413.02,6415.92,6408.52,6409.7,41.09,263499.25,6412.45
2018-10-27 03:00:00,6411.13,6420,6410.02,6413.54,22.21,142507.02,6415.45
2018-10-27 04:00:00,6416.51,6419.94,6409.99,6416.16,29.52,189422.21,6415.79
2018-10-27 05:00:00,6416.33,6420,6412.29,6412.3,34.62,222157.54,6417.87
2018-10-27 06:00:00,6412.3,6420.01,6412.3,6414.02,83.26,534371.72,6418.09
2018-10-27 07:00:00,6414.02,6417.78,6412.05,6414.66,19.93,127801.48,6414.1
2018-10-27 08:00:00,6414.66,6416.75,6405.57,6409.91,32,205193.35,6411.66
2018-10-27 09:00:00,6409.48,6412.68,6404.24,6411.72,11.01,70553.56,6410.34
2018-10-27 10:00:00,6407.19,6411.96,6402.25,6404.85,36.49,233762.21,6405.86
2018-10-27 11:00:00,6403.2,6405.12,6397.13,6403.91,29.18,186811.42,6401.47
2018-10-27 12:00:00,6403.91,6407.82,6398.9,6404.32,8.96,57396.72,6405.48
2018-10-27 13:00:00,6404.33,6407.98,6397.13,6397.13,19.77,126590.99,6403.88
2018-10-27 14:00:00,6401.06,6401.07,6386.6,6396.62,85.08,544125.95,6395.19
2018-10-27 15:00:00,6396.62,6401.04,6381.25,6398.49,139.67,892929.11,6393.21
2018-10-27 16:00:00,6398.46,6401.04,6382.72,6401.04,37.95,242718.4,6395.61
2018-10-27 17:00:00,6401.04,6407.4,6393.7,6407.36,17.7,113330.37,6402.14
